latitude,longitude,event_date,soil_wetness_gwet_top,soil_moisture_source
25.38163333,90.06033889,2022-06-09,0.92,NASA_POWER_MERRA2
25.45939722,90.70860278,2022-06-17,0.99,NASA_POWER_MERRA2
25.45903056,90.70813333,2022-06-17,0.99,NASA_POWER_MERRA2
25.44835,91.59150278,2022-06-15,1.0,NASA_POWER_MERRA2
25.44743611,91.59103889,2022-06-15,1.0,NASA_POWER_MERRA2
25.44716111,91.59067778,2022-06-15,1.0,NASA_POWER_MERRA2
25.35861111,91.97208333,2022-04-04,0.95,NASA_POWER_MERRA2
25.35908333,91.97433333,2022-04-04,0.95,NASA_POWER_MERRA2
25.39611111,91.99194444,2022-04-04,0.95,NASA_POWER_MERRA2
25.365263,91.878497,2023-04-13,0.76,NASA_POWER_MERRA2
25.52901389,91.26188611,2023-06-17,0.97,NASA_POWER_MERRA2
25.41955556,92.16194444,2023-08-10,0.97,NASA_POWER_MERRA2
25.55256111,91.61870278,2024-06-28,0.97,NASA_POWER_MERRA2
25.39295833,91.55163333,2024-05-28,0.98,NASA_POWER_MERRA2
25.37129167,91.48003056,2024-06-15,0.98,NASA_POWER_MERRA2
25.40288611,91.43424167,2024-05-28,0.98,NASA_POWER_MERRA2
25.531739,91.296177,2024-07-02,0.99,NASA_POWER_MERRA2
25.540056,91.314142,2024-07-02,0.99,NASA_POWER_MERRA2
25.62790278,91.88801944,2024-05-28,0.99,NASA_POWER_MERRA2
25.630403,91.8899195,2024-05-28,0.99,NASA_POWER_MERRA2
25.630858,91.887601,2024-05-28,0.99,NASA_POWER_MERRA2
25.641242,91.894137,2024-07-02,0.99,NASA_POWER_MERRA2
25.65057222,91.89351389,2024-07-02,0.99,NASA_POWER_MERRA2
25.64887222,91.89692778,2024-07-02,0.99,NASA_POWER_MERRA2
25.41384722,91.67856111,2024-05-28,0.99,NASA_POWER_MERRA2
25.34508889,91.60050278,2024-05-28,0.99,NASA_POWER_MERRA2
