latitude,longitude,event_date,rainfall_mm_day,elevation_m,slope_degrees,soil_wetness_gwet_top,soil_moisture_source,nearest_landslide_distance_km,nearest_landslide_latitude,nearest_landslide_longitude
26.646084,90.889514,2026-05-30,0.0,69.0,2.5695028228896355,0.67,NASA_POWER_MERRA2,91.92622213270273,25.872268,91.213965
25.820957,94.119182,2025-06-01,13.754999160766602,1174.0,16.416440373585463,0.87,NASA_POWER_MERRA2,5.412162010636878,25.85442778,94.15844444
26.609935,92.088514,2007-07-17,2.049999952316284,78.0,3.5204050825976285,0.73,NASA_POWER_MERRA2,31.291607664077333,26.88969,92.12266
26.217541,93.061465,2024-05-28,49.869998931884766,84.0,1.7210061534334908,0.8,NASA_POWER_MERRA2,58.1530951235347,25.69814,93.129423
27.535831,93.812493,2021-04-28,10.425000190734863,1607.0,12.416385315606288,0.61,NASA_POWER_MERRA2,21.878827676813547,27.339267,93.802581
27.518076,91.786095,2024-07-02,3.6550002098083496,1728.0,47.00764738441772,0.91,NASA_POWER_MERRA2,11.642335258068654,27.594833,91.866417
28.487773,94.158653,2023-08-10,4.460000038146973,2472.0,28.08409936669116,0.91,NASA_POWER_MERRA2,100.59441487118563,27.715081,94.692035
27.955653,93.310498,2018-05-18,1.045000076293945,2204.0,34.06686306057424,0.7,NASA_POWER_MERRA2,83.94558866551435,27.339267,93.802581
25.890612,92.0457,2024-06-07,8.22499942779541,726.0,10.030442717931756,0.8,NASA_POWER_MERRA2,19.317056129782443,25.809088,91.875238
27.820091,97.115108,2016-05-22,57.77001190185547,2362.0,51.22852294606111,0.93,NASA_POWER_MERRA2,238.68892355917424,27.715081,94.692035
26.917221,93.766913,2025-06-01,5.449999809265137,80.0,2.052775101535614,0.84,NASA_POWER_MERRA2,21.696176111650335,27.105253,93.825399
27.645255,91.923106,2024-05-28,0.3000000119209289,3465.0,18.35954987108923,0.76,NASA_POWER_MERRA2,6.324354049015636,27.591389,91.9025
26.305898,92.79322,2024-06-12,9.225000381469728,65.0,4.289153328819018,0.66,NASA_POWER_MERRA2,75.47158511872024,25.69814,93.129423
27.012906,92.563507,2024-05-28,46.26999282836914,481.0,22.59136070457113,0.76,NASA_POWER_MERRA2,7.167194629917282,27.018342,92.6356
27.631649,88.390532,2024-05-28,4.334999561309815,2866.0,34.34312015369677,0.71,NASA_POWER_MERRA2,19.95878981033687,27.5091,88.53848
27.971594,88.729488,2024-06-28,5.809999465942383,5287.0,25.76429782575938,0.81,NASA_POWER_MERRA2,39.73649909588394,27.61936111,88.66131389
28.083943,95.558176,2024-05-28,27.40999984741211,199.0,4.393377408433921,0.74,NASA_POWER_MERRA2,94.48284290507542,27.715081,94.692035
23.876389,93.346398,2016-05-17,51.56500244140625,1063.0,27.17735741799749,0.77,NASA_POWER_MERRA2,17.060299357123675,24.02205833,93.29369167
23.92703,94.152119,2024-08-25,37.81499481201172,340.0,0.7548944975654582,0.73,NASA_POWER_MERRA2,45.04792728891772,24.325444,94.232583
23.414603,91.573296,2022-06-17,66.20001220703125,82.0,7.660316591254672,0.92,NASA_POWER_MERRA2,22.051529844337182,23.22966667,91.49532222
23.345869,91.528557,2024-08-13,0.3349999785423279,35.0,11.653262308925733,0.93,NASA_POWER_MERRA2,13.359564397846698,23.22966667,91.49532222
25.168349,93.154747,2016-05-22,0.755000114440918,992.0,26.10832406962671,0.93,NASA_POWER_MERRA2,3.986858069029132,25.17638889,93.11613889
25.944543,91.53376,2024-07-09,14.594999313354492,311.0,26.337475856826448,0.85,NASA_POWER_MERRA2,20.082248383613788,25.803984,91.659801
