latitude,longitude,event_date,rainfall_mm_day,rainfall_source
23.559231,93.313549,2025-06-01,55.4849967956543,IMERG_Final_V07
25.645723,94.707945,2020-06-02,6.854999542236328,IMERG_Final_V07
26.022596,91.323316,2025-06-01,31.485000610351562,IMERG_Final_V07
25.598828,90.268319,2024-05-28,7.375,IMERG_Final_V07
27.561771,91.843147,2025-05-30,102.24501037597656,IMERG_Final_V07
25.349104,92.760262,2018-08-02,0.9750000238418579,IMERG_Final_V07
25.2769,91.495523,2009-07-17,5.59999942779541,IMERG_Final_V07
26.644704,92.39525,2025-05-31,11.670000076293945,IMERG_Final_V07
26.770362,91.291805,2019-10-26,1.7949998378753662,IMERG_Final_V07
23.410085,91.314252,2017-06-03,0.0,IMERG_Final_V07
22.870401,92.794377,2024-07-02,15.980001449584961,IMERG_Final_V07
25.835534,92.19757,2021-04-28,5.570000171661377,IMERG_Final_V07
27.489583,92.713873,2018-06-06,6.67500114440918,IMERG_Final_V07
25.668253,91.744305,2024-07-02,1.7650001049041748,IMERG_Final_V07
27.238042,88.05178,2024-07-02,9.069999694824219,IMERG_Final_V07
25.626514,92.171535,2025-06-01,30.009998321533203,IMERG_Final_V07
26.371462,90.8185,2024-07-01,32.78999710083008,IMERG_Final_V07
25.896498,90.60611,2016-05-22,0.0,IMERG_Final_V07
25.908406,93.295566,2023-08-09,19.76999855041504,IMERG_Final_V07
26.741152,93.004422,2024-08-28,0.0,IMERG_Final_V07
23.75973,93.033552,2014-09-20,0.4399999976158142,IMERG_Final_V07
25.56092,89.87447,2025-05-31,17.214998245239258,IMERG_Final_V07
27.916786,94.972366,2013-08-16,8.569999694824219,IMERG_Final_V07
28.373903,96.07675,2020-06-02,67.90499877929688,IMERG_Final_V07
29.331086,95.789933,2024-07-19,0.41999995708465576,IMERG_Final_V07
26.984377,95.118812,2024-05-28,37.89500427246094,IMERG_Final_V07
28.037417,97.220095,2022-06-09,2.684999942779541,IMERG_Final_V07
28.56031,95.877619,2014-06-24,6.864999771118164,IMERG_Final_V07
23.387518,93.159902,2025-06-01,110.30001068115234,IMERG_Final_V07
25.383522,91.67626,2025-06-11,5.159999847412109,IMERG_Final_V07
28.267105,96.363589,2024-05-28,25.714996337890625,IMERG_Final_V07
27.826475,93.752058,2016-04-23,2.56499981880188,IMERG_Final_V07
27.833999,93.464267,2022-05-14,1.8949999809265137,IMERG_Final_V07
27.133137,88.127064,2025-05-30,25.65999984741211,IMERG_Final_V07
23.167747,92.435357,2024-09-28,0.0,IMERG_Final_V07
25.057635,94.714382,2025-06-01,34.28499984741211,IMERG_Final_V07
24.516722,94.292028,2025-06-02,12.695001602172852,IMERG_Final_V07
26.344713,91.962719,2024-05-28,24.884998321533203,IMERG_Final_V07
22.696244,92.681322,2024-05-28,101.90499877929688,IMERG_Final_V07
25.286018,92.403231,2018-06-12,112.13500213623047,IMERG_Final_V07
28.10207,93.473747,2011-06-26,9.869999885559082,IMERG_Final_V07
26.242687,94.583396,2024-06-18,7.064999580383301,IMERG_Final_V07
26.534195,92.073023,2024-05-28,15.429998397827148,IMERG_Final_V07
25.399668,92.20616,2022-04-04,37.95000457763672,IMERG_Final_V07
27.952295,95.215214,2023-06-09,27.949996948242188,IMERG_Final_V07
26.255378,90.714745,2024-07-02,7.854999542236328,IMERG_Final_V07
23.900852,91.790121,2025-06-01,33.21999740600586,IMERG_Final_V07
25.236691,93.491347,2024-05-28,123.56499481201172,IMERG_Final_V07
27.537457,92.173828,2025-06-02,16.009998321533203,IMERG_Final_V07
27.670706,95.474557,2025-05-31,14.805000305175781,IMERG_Final_V07
26.23785,94.015693,2024-07-01,66.1500015258789,IMERG_Final_V07
26.914148,94.892454,2020-05-26,64.36000061035156,IMERG_Final_V07
24.572073,93.658112,2025-06-01,64.99999237060547,IMERG_Final_V07
27.161605,92.949275,2024-05-28,96.33500671386719,IMERG_Final_V07
