sl_no,latitude,longitude,event_date,rainfall_mm_day,elevation_m,slope_degrees,historical_landslide,rainfall_source
23925,23.182466,92.487731,2025-06-01,121.27499389648438,785.0,8.47871314708616,1,IMERG_Final_V07
23926,23.204706,92.533825,2025-06-01,135.75999450683594,775.0,11.386165083355712,1,IMERG_Final_V07
23927,23.251004,92.63667,2025-06-01,136.86500549316406,749.0,8.935631425418535,1,IMERG_Final_V07
23928,23.234898,92.911307,2025-06-01,118.3699951171875,670.0,9.73677691573277,1,IMERG_Final_V07
23929,23.225619,92.924909,2025-06-01,118.3699951171875,451.0,33.16099672886019,1,IMERG_Final_V07
23930,23.223807,92.944448,2025-06-01,118.3699951171875,485.0,8.47871314708616,1,IMERG_Final_V07
23931,23.21795,92.998007,2025-06-01,118.3699951171875,1110.0,31.12871688801731,1,IMERG_Final_V07
23932,23.217324,92.99812,2025-06-01,118.3699951171875,1082.0,18.130932944052347,1,IMERG_Final_V07
23933,23.19917,93.000199,2025-06-01,117.60499572753906,768.0,37.4041069193059,1,IMERG_Final_V07
23934,23.1915,93.011024,2025-05-31,37.77999877929688,875.0,40.41337530810542,1,IMERG_Final_V07
23935,23.183361,93.066742,2025-05-31,37.77999877929688,1033.0,30.85613335195628,1,IMERG_Final_V07
23936,23.241722,93.098254,2025-05-30,152.11500549316406,1162.0,27.90904811068605,1,IMERG_Final_V07
23937,23.229765,93.127521,2025-05-31,35.17499923706055,1009.0,28.257311688503773,1,IMERG_Final_V07
23938,23.2066,93.148665,2025-06-01,101.42498779296876,830.0,31.311156133255537,1,IMERG_Final_V07
23939,23.197704,93.163019,2025-05-31,30.39499855041504,546.0,31.39687644298045,1,IMERG_Final_V07
23940,23.198136,93.166988,2025-06-01,103.0850067138672,663.0,28.222814437179903,1,IMERG_Final_V07
23941,23.177311,93.198157,2025-06-01,103.0850067138672,1149.0,14.506372352544124,1,IMERG_Final_V07
23942,23.148209,93.321183,2025-05-31,16.264999389648438,1606.0,30.297100641022165,1,IMERG_Final_V07
23943,23.14788,93.323791,2025-06-01,80.59500122070312,1548.0,21.33126583595921,1,IMERG_Final_V07
23949,23.527592,92.984969,2025-05-31,38.2300033569336,1342.0,27.017123217850244,1,IMERG_Final_V07
23951,23.760466,92.848969,2025-05-31,84.12999725341797,829.0,15.179705807856672,1,IMERG_Final_V07
23952,23.807952,92.834037,2025-06-01,83.02499389648438,534.0,39.8055710922652,1,IMERG_Final_V07
23953,24.285871,92.94599,2025-06-14,28.11000061035156,904.0,23.75010057347409,1,IMERG_Final_V07
23954,24.288014,92.946017,2025-06-14,28.11000061035156,923.0,27.360321545332805,1,IMERG_Final_V07
23955,24.354658,92.925511,2025-05-29,31.029998779296875,689.0,13.915808695897177,1,IMERG_Final_V07
23956,24.365715,92.930137,2025-06-01,38.60500717163086,610.0,34.41738871044157,1,IMERG_Final_V07
23957,23.747519,92.853155,2025-06-15,72.48999786376953,808.0,30.37812888097552,1,IMERG_Final_V07
23963,24.80375556,92.733375,2018-04-28,2.6549999713897705,18.0,0.9548412538721888,1,IMERG_Final_V07
23964,22.87355833,92.75595278,2019-07-02,0.0499999970197677,1075.0,21.869859308909422,1,IMERG_Final_V07
23966,24.73197222,92.75988889,2020-02-02,0.0,19.0,0.9548412538721888,1,IMERG_Final_V07
23971,23.74150833,92.70785833,2023-06-04,0.0,888.0,37.14591448999934,1,IMERG_Final_V07
23979,23.60830556,92.85058333,2016-09-17,5.925000190734863,1111.0,32.167104228386144,1,IMERG_Final_V07
23985,23.47,92.7215,2024-05-25,16.789995193481445,1096.0,22.373844274024943,1,IMERG_Final_V07
23986,23.4688,92.7208,2025-01-02,0.0,1136.0,25.23940182067892,1,IMERG_Final_V07
